Level 2 Short;Level 2;Level 1 Short;Level 1;Original;Origin
;;BHN;Bahn;Flächen für Bahnanlagen*;Hamburg
BAU;Bau;MSH;Misch;Gemischte Bauflächen deren Charakter als Dienstleistungszentren für die Wohnbevölkerung und für die Wirtschaft durch besondere Festsetzungen gesichert werden soll;Hamburg
BAU;Bau;MSH;Misch;Gemischte Bauflächen;Hamburg
;;GMB;Gemeinbedarf;Flächen für Gemeinbedarf geringfügig bebaut;Hamburg
;;FDH;Friedhof;Grünflächen (Friedhof);Hamburg
STR;Strassen;VRK;Verkehr;Sonstige Hauptverkehrstraßen*;Hamburg
;;SND;Sonder;Sonderbauflächen;Hamburg
BRH;Brache;FRF;Freifläche;Fläche für Aufschüttungen;Hamburg
STR;Strassen;VRK;Verkehr;Verkehrfläche/Autobahnen oder autobahnähnliche Straßen*;Hamburg
;;WHN;Wohnen;Wohnbauflächen deren parkartiger Charakter durch besondere Festsetzungen gesichert werden soll;Hamburg
;;LVK;Luftverkehr;In Aussicht genommene Umgrenzung der Flächen für den Luftverkehr;Hamburg
DRF;Dorf;WHN;Wohnen;Dorfgebiete;Hamburg
;;GRF;Grünfläche;Grünflächen ;Hamburg
;;LVK;Luftverkehr;Flächen für den Luftverkehr;Hamburg
;;BAU;Bau;Baufla_chen;Munich
;;WHN;Wohnen;Wohnbaufla_chen;Munich
;;WHN;Wohnen;Kleinsiedlungsgebiete;Munich
;;WHN;Wohnen;Reine Wohngebiete;Munich
;;WHN;Wohnen;Allgemeine Wohngebiete;Munich
;;WHN;Wohnen;Besondere Wohngebiete;Munich
;;MSH;Misch;Gemischte Baufla_chen;Munich
DRF;Dorf;WHN;Wohnen;Dorfgebiete;Munich
;;MSH;Misch;Mischgebiete;Munich
;;KRN;Kern;Kerngebiete;Munich
;;GWB;Gewerbe;Gewerbliche Baufla_chen;Munich
;;GWB;Gewerbe;Gewerbegebiete;Munich
;;IND;Industrie;Industriegebiete;Munich
;;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen;Munich
BLD;Bildung;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Erziehung;Munich
;;GMB;Gemeinbedarf;Gemeinbedarfsflachen Fursorge;Munich
